 frequency              r_VOUT                 i_VOUT                
 3.758374042884482e+02  1.125685391754075e+00 -4.110859582289101e-04 
 3.831186849557329e+02  1.125685385985564e+00 -4.190504185877754e-04 
 3.905410294116422e+02  1.125685379991376e+00 -4.271691725866787e-04 
 3.981071705535015e+02  1.125685373762681e+00 -4.354452095302342e-04 
 4.058198942243842e+02  1.125685367290305e+00 -4.438815766338484e-04 
 4.136820402388552e+02  1.125685360564717e+00 -4.524813801456664e-04 
 4.216965034285868e+02  1.125685353576007e+00 -4.612477864902464e-04 
 4.298662347082324e+02  1.125685346313883e+00 -4.701840234344047e-04 
 4.381942421619485e+02  1.125685338767649e+00 -4.792933812756249e-04 
 4.466835921509680e+02  1.125685330926186e+00 -4.885792140534996e-04 
 4.553374104426299e+02  1.125685322777949e+00 -4.980449407846468e-04 
 4.641588833612830e+02  1.125685314310935e+00 -5.076940467215249e-04 
 4.731512589614857e+02  1.125685305512672e+00 -5.175300846356559e-04 
 4.823178482239360e+02  1.125685296370200e+00 -5.275566761256917e-04 
 4.916620262745698e+02  1.125685286870054e+00 -5.377775129508307e-04 
 5.011872336272779e+02  1.125685276998239e+00 -5.481963583900481e-04 
 5.108969774506985e+02  1.125685266740217e+00 -5.588170486276765e-04 
 5.207948328595522e+02  1.125685256080880e+00 -5.696434941658085e-04 
 5.308844442309944e+02  1.125685245004523e+00 -5.806796812640624e-04 
 5.411695265464699e+02  1.125685233494835e+00 -5.919296734072513e-04 
 5.516538667595644e+02  1.125685221534859e+00 -6.033976128014608e-04 
 5.623413251903556e+02  1.125685209106982e+00 -6.150877218991285e-04 
 5.732358369467780e+02  1.125685196192901e+00 -6.270043049536443e-04 
 5.843414133735243e+02  1.125685182773589e+00 -6.391517496040759e-04 
 5.956621435290174e+02  1.125685168829287e+00 -6.515345284905964e-04 
 6.072021956909956e+02  1.125685154339447e+00 -6.641572009011815e-04 
 6.189658188912678e+02  1.125685139282734e+00 -6.770244144502382e-04 
 6.309573444802006e+02  1.125685123636967e+00 -6.901409067897104e-04 
 6.431811877215163e+02  1.125685107379104e+00 -7.035115073533561e-04 
 6.556418494179866e+02  1.125685090485194e+00 -7.171411391347991e-04 
 6.683439175686225e+02  1.125685072930357e+00 -7.310348205000274e-04 
 6.812920690579693e+02  1.125685054688736e+00 -7.451976670349917e-04 
