 v-sweep         iref_forced     iref_mos        iout_mos        error_vs_forced_pct error_vs_reference_mos_pct vdsat_abs       sat_margin     
 1.56000000e+00  1.00000000e-05  1.00000012e-05  1.06865207e-05  6.86520693e+00  6.86519428e+00  1.08670708e-01  1.45132929e+00 
 1.57000000e+00  1.00000000e-05  1.00000012e-05  1.06938980e-05  6.93898004e+00  6.93896738e+00  1.08670709e-01  1.46132929e+00 
 1.58000000e+00  1.00000000e-05  1.00000012e-05  1.07012741e-05  7.01274122e+00  7.01272855e+00  1.08670710e-01  1.47132929e+00 
 1.59000000e+00  1.00000000e-05  1.00000012e-05  1.07086495e-05  7.08649540e+00  7.08648273e+00  1.08670710e-01  1.48132929e+00 
 1.60000000e+00  1.00000000e-05  1.00000012e-05  1.07160248e-05  7.16024768e+00  7.16023500e+00  1.08670711e-01  1.49132929e+00 
 1.61000000e+00  1.00000000e-05  1.00000012e-05  1.07234003e-05  7.23400325e+00  7.23399056e+00  1.08670712e-01  1.50132929e+00 
 1.62000000e+00  1.00000000e-05  1.00000012e-05  1.07307767e-05  7.30776745e+00  7.30775475e+00  1.08670713e-01  1.51132929e+00 
 1.63000000e+00  1.00000000e-05  1.00000012e-05  1.07381546e-05  7.38154577e+00  7.38153307e+00  1.08670714e-01  1.52132929e+00 
 1.64000000e+00  1.00000000e-05  1.00000012e-05  1.07455344e-05  7.45534384e+00  7.45533112e+00  1.08670715e-01  1.53132929e+00 
 1.65000000e+00  1.00000000e-05  1.00000012e-05  1.07529167e-05  7.52916741e+00  7.52915468e+00  1.08670716e-01  1.54132928e+00 
 1.66000000e+00  1.00000000e-05  1.00000012e-05  1.07603022e-05  7.60302241e+00  7.60300968e+00  1.08670717e-01  1.55132928e+00 
 1.67000000e+00  1.00000000e-05  1.00000012e-05  1.07676915e-05  7.67691490e+00  7.67690216e+00  1.08670718e-01  1.56132928e+00 
 1.68000000e+00  1.00000000e-05  1.00000012e-05  1.07750851e-05  7.75085112e+00  7.75083837e+00  1.08670719e-01  1.57132928e+00 
 1.69000000e+00  1.00000000e-05  1.00000012e-05  1.07824837e-05  7.82483743e+00  7.82482467e+00  1.08670720e-01  1.58132928e+00 
 1.70000000e+00  1.00000000e-05  1.00000012e-05  1.07898880e-05  7.89888038e+00  7.89886761e+00  1.08670721e-01  1.59132928e+00 
 1.71000000e+00  1.00000000e-05  1.00000012e-05  1.07972987e-05  7.97298667e+00  7.97297390e+00  1.08670722e-01  1.60132928e+00 
 1.72000000e+00  1.00000000e-05  1.00000012e-05  1.08047163e-05  8.04716318e+00  8.04715039e+00  1.08670723e-01  1.61132928e+00 
 1.73000000e+00  1.00000000e-05  1.00000012e-05  1.08121417e-05  8.12141693e+00  8.12140414e+00  1.08670725e-01  1.62132928e+00 
 1.74000000e+00  1.00000000e-05  1.00000012e-05  1.08195755e-05  8.19575514e+00  8.19574234e+00  1.08670726e-01  1.63132927e+00 
 1.75000000e+00  1.00000000e-05  1.00000012e-05  1.08270185e-05  8.27018518e+00  8.27017237e+00  1.08670727e-01  1.64132927e+00 
 1.76000000e+00  1.00000000e-05  1.00000012e-05  1.08344715e-05  8.34471461e+00  8.34470179e+00  1.08670729e-01  1.65132927e+00 
 1.77000000e+00  1.00000000e-05  1.00000012e-05  1.08419351e-05  8.41935116e+00  8.41933833e+00  1.08670730e-01  1.66132927e+00 
 1.78000000e+00  1.00000000e-05  1.00000012e-05  1.08494103e-05  8.49410273e+00  8.49408990e+00  1.08670732e-01  1.67132927e+00 
 1.79000000e+00  1.00000000e-05  1.00000012e-05  1.08568977e-05  8.56897743e+00  8.56896458e+00  1.08670733e-01  1.68132927e+00 
 1.80000000e+00  1.00000000e-05  1.00000012e-05  1.08643984e-05  8.64398351e+00  8.64397065e+00  1.08670735e-01  1.69132927e+00 
