 frequency              gain                  
 2.610157215682563e+02  1.595635150461369e+01 
 2.660725059798837e+02  1.595635146903025e+01 
 2.712272579332056e+02  1.595635143205673e+01 
 2.764818754010136e+02  1.595635139363523e+01 
 2.818382931264483e+02  1.595635135371004e+01 
 2.872984833353694e+02  1.595635131222447e+01 
 2.928644564625267e+02  1.595635126911436e+01 
 2.985382618917990e+02  1.595635122431961e+01 
 3.043219887107753e+02  1.595635117777102e+01 
 3.102177664799533e+02  1.595635112940212e+01 
 3.162277660168412e+02  1.595635107914054e+01 
 3.223542001952496e+02  1.595635102691180e+01 
 3.285993247600689e+02  1.595635097264080e+01 
 3.349654391578312e+02  1.595635091624616e+01 
 3.414548873833638e+02  1.595635085764577e+01 
 3.480700588428447e+02  1.595635079675116e+01 
 3.548133892335792e+02  1.595635073347615e+01 
 3.616873614408197e+02  1.595635066772480e+01 
 3.686945064519614e+02  1.595635059940169e+01 
 3.758374042884482e+02  1.595635052840543e+01 
 3.831186849557329e+02  1.595635045463068e+01 
 3.905410294116422e+02  1.595635037797051e+01 
 3.981071705535015e+02  1.595635029831184e+01 
 4.058198942243842e+02  1.595635021553591e+01 
 4.136820402388552e+02  1.595635012952149e+01 
 4.216965034285868e+02  1.595635004014175e+01 
 4.298662347082324e+02  1.595634994726615e+01 
 4.381942421619485e+02  1.595634985075587e+01 
 4.466835921509680e+02  1.595634975047114e+01 
 4.553374104426299e+02  1.595634964626193e+01 
 4.641588833612830e+02  1.595634953797574e+01 
 4.731512589614857e+02  1.595634942545433e+01 
 4.823178482239360e+02  1.595634930853074e+01 
 4.916620262745698e+02  1.595634918703126e+01 
 5.011872336272779e+02  1.595634906078013e+01 
 5.108969774506985e+02  1.595634892959009e+01 
 5.207948328595522e+02  1.595634879326609e+01 
 5.308844442309944e+02  1.595634865160882e+01 
 5.411695265464699e+02  1.595634850441183e+01 
 5.516538667595644e+02  1.595634835145386e+01 
 5.623413251903556e+02  1.595634819251271e+01 
 5.732358369467780e+02  1.595634802735288e+01 
 5.843414133735243e+02  1.595634785573182e+01 
 5.956621435290174e+02  1.595634767739716e+01 
 6.072021956909956e+02  1.595634749208424e+01 
 6.189658188912678e+02  1.595634729952286e+01 
 6.309573444802006e+02  1.595634709942671e+01 
 6.431811877215163e+02  1.595634689150239e+01 
 6.556418494179866e+02  1.595634667544488e+01 
 6.683439175686225e+02  1.595634645093355e+01 
 6.812920690579693e+02  1.595634621764007e+01 
 6.944910713781295e+02  1.595634597521915e+01 
 7.079457843841464e+02  1.595634572331378e+01 
 7.216611620833969e+02  1.595634546155427e+01 
 7.356422544596502e+02  1.595634518955229e+01 
 7.498942093324649e+02  1.595634490691075e+01 
 7.644222742526096e+02  1.595634461321028e+01 
 7.792317984342036e+02  1.595634430802029e+01 
 7.943282347242912e+02  1.595634399089014e+01 
 8.097171416105718e+02  1.595634366135376e+01 
 8.254041852680285e+02  1.595634331892542e+01 
 8.413951416452054e+02  1.595634296309922e+01 
 8.576958985909047e+02  1.595634259335256e+01 
 8.743124580220845e+02  1.595634220914147e+01 
 8.912509381337566e+02  1.595634180989931e+01 
 9.085175756516981e+02  1.595634139503547e+01 
 9.261187281288051e+02  1.595634096394423e+01 
 9.440608762859353e+02  1.595634051598602e+01 
 9.623506263981008e+02  1.595634005050215e+01 
 9.809947127268898e+02  1.595633956680832e+01 
 1.000000000000013e+03  1.595633906419191e+01 
 1.019373485938886e+03  1.595633854191024e+01 
 1.039122303835182e+03  1.595633799919777e+01 
 1.059253725177302e+03  1.595633743525212e+01 
 1.079775162327723e+03  1.595633684924384e+01 
 1.100694171252224e+03  1.595633624030791e+01 
 1.122018454301978e+03  1.595633560755095e+01 
 1.143755863049553e+03  1.595633495004006e+01 
 1.165914401179847e+03  1.595633426680267e+01 
 1.188502227437034e+03  1.595633355683792e+01 
 1.211527658628604e+03  1.595633281909714e+01 
 1.234999172687601e+03  1.595633205249485e+01 
 1.258925411794184e+03  1.595633125589953e+01 
 1.283315185557668e+03  1.595633042813982e+01 
 1.308177474260211e+03  1.595632956799802e+01 
 1.333521432163342e+03  1.595632867420393e+01 
 1.359356390878544e+03  1.595632774544298e+01 
 1.385691862803146e+03  1.595632678034625e+01 
 1.412537544622773e+03  1.595632577749365e+01 
 1.439903320881652e+03  1.595632473540648e+01 
 1.467799267622089e+03  1.595632365255081e+01 
 1.496235656094454e+03  1.595632252733116e+01 
 1.525222956539040e+03  1.595632135809089e+01 
 1.554771842041195e+03  1.595632014310535e+01 
 1.584893192461135e+03  1.595631888058794e+01 
 1.615598098439896e+03  1.595631756867837e+01 
 1.646897865482891e+03  1.595631620544445e+01 
 1.678804018122584e+03  1.595631478887623e+01 
 1.711328304161804e+03  1.595631331688818e+01 
 1.744482698999278e+03  1.595631178731294e+01 
 1.778279410038948e+03  1.595631019789822e+01 
 1.812730881184724e+03  1.595630854630027e+01 
 1.847849797422317e+03  1.595630683008937e+01 
