 frequency       ad              ad              vdiff           vdiff           v(VOUT)         v(VOUT)	manifest_sha256
 4.13682040e+00  2.60566830e+03 -1.34343389e+00  1.00000000e+00 -1.98849540e-21  2.60566830e+03 -1.34343389e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.21696503e+00  2.60566827e+03 -1.36962470e+00  1.00000000e+00 -1.95093704e-21  2.60566827e+03 -1.36962470e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.29866235e+00  2.60566824e+03 -1.39631980e+00  1.00000000e+00 -1.91407944e-21  2.60566824e+03 -1.39631980e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.38194242e+00  2.60566821e+03 -1.42352902e+00  1.00000000e+00 -1.87791001e-21  2.60566821e+03 -1.42352902e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.46683592e+00  2.60566818e+03 -1.45126238e+00  1.00000000e+00 -1.84241637e-21  2.60566818e+03 -1.45126238e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.55337410e+00  2.60566815e+03 -1.47953009e+00  1.00000000e+00 -1.80758631e-21  2.60566815e+03 -1.47953009e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.64158883e+00  2.60566812e+03 -1.50834256e+00  1.00000000e+00 -1.77340784e-21  2.60566812e+03 -1.50834256e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.73151259e+00  2.60566808e+03 -1.53771040e+00  1.00000000e+00 -1.73986916e-21  2.60566808e+03 -1.53771040e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.82317848e+00  2.60566805e+03 -1.56764442e+00  1.00000000e+00 -1.70695865e-21  2.60566805e+03 -1.56764442e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.91662026e+00  2.60566801e+03 -1.59815564e+00  1.00000000e+00 -1.67466490e-21  2.60566801e+03 -1.59815564e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.01187234e+00  2.60566797e+03 -1.62925530e+00  1.00000000e+00 -1.64297668e-21  2.60566797e+03 -1.62925530e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.10896977e+00  2.60566793e+03 -1.66095485e+00  1.00000000e+00 -1.61188292e-21  2.60566793e+03 -1.66095485e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.20794833e+00  2.60566789e+03 -1.69326596e+00  1.00000000e+00 -1.58137277e-21  2.60566789e+03 -1.69326596e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.30884444e+00  2.60566785e+03 -1.72620052e+00  1.00000000e+00 -1.55143556e-21  2.60566785e+03 -1.72620052e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.41169527e+00  2.60566780e+03 -1.75977067e+00  1.00000000e+00 -1.52206077e-21  2.60566780e+03 -1.75977067e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.51653867e+00  2.60566775e+03 -1.79398875e+00  1.00000000e+00 -1.49323809e-21  2.60566775e+03 -1.79398875e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.62341325e+00  2.60566771e+03 -1.82886738e+00  1.00000000e+00 -1.46495736e-21  2.60566771e+03 -1.82886738e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.73235837e+00  2.60566765e+03 -1.86441940e+00  1.00000000e+00 -1.43720862e-21  2.60566765e+03 -1.86441940e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.84341413e+00  2.60566760e+03 -1.90065789e+00  1.00000000e+00 -1.40998207e-21  2.60566760e+03 -1.90065789e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.95662144e+00  2.60566755e+03 -1.93759619e+00  1.00000000e+00 -1.38326806e-21  2.60566755e+03 -1.93759619e+00	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
