 frequency       gain_db         phase_deg      
 1.28824955e+04  4.14724748e+01  1.79907408e+02 
 1.31825674e+04  4.14724743e+01  1.79905251e+02 
 1.34896288e+04  4.14724738e+01  1.79903044e+02 
 1.38038426e+04  4.14724733e+01  1.79900786e+02 
 1.41253754e+04  4.14724727e+01  1.79898475e+02 
 1.44543977e+04  4.14724722e+01  1.79896110e+02 
 1.47910839e+04  4.14724716e+01  1.79893690e+02 
 1.51356125e+04  4.14724710e+01  1.79891214e+02 
 1.54881662e+04  4.14724703e+01  1.79888680e+02 
 1.58489319e+04  4.14724696e+01  1.79886087e+02 
 1.62181010e+04  4.14724689e+01  1.79883433e+02 
 1.65958691e+04  4.14724682e+01  1.79880718e+02 
 1.69824365e+04  4.14724674e+01  1.79877940e+02 
 1.73780083e+04  4.14724666e+01  1.79875096e+02 
 1.77827941e+04  4.14724657e+01  1.79872187e+02 
 1.81970086e+04  4.14724648e+01  1.79869210e+02 
 1.86208714e+04  4.14724639e+01  1.79866163e+02 
 1.90546072e+04  4.14724629e+01  1.79863046e+02 
 1.94984460e+04  4.14724618e+01  1.79859856e+02 
 1.99526231e+04  4.14724608e+01  1.79856592e+02 
 2.04173794e+04  4.14724596e+01  1.79853251e+02 
 2.08929613e+04  4.14724584e+01  1.79849833e+02 
 2.13796209e+04  4.14724572e+01  1.79846335e+02 
 2.18776162e+04  4.14724559e+01  1.79842756e+02 
 2.23872114e+04  4.14724545e+01  1.79839093e+02 
 2.29086765e+04  4.14724531e+01  1.79835345e+02 
 2.34422882e+04  4.14724516e+01  1.79831510e+02 
 2.39883292e+04  4.14724501e+01  1.79827585e+02 
 2.45470892e+04  4.14724484e+01  1.79823569e+02 
 2.51188643e+04  4.14724467e+01  1.79819460e+02 
 2.57039578e+04  4.14724449e+01  1.79815254e+02 
 2.63026799e+04  4.14724430e+01  1.79810951e+02 
 2.69153480e+04  4.14724411e+01  1.79806548e+02 
 2.75422870e+04  4.14724390e+01  1.79802042e+02 
 2.81838293e+04  4.14724369e+01  1.79797431e+02 
 2.88403150e+04  4.14724346e+01  1.79792712e+02 
 2.95120923e+04  4.14724322e+01  1.79787884e+02 
 3.01995172e+04  4.14724298e+01  1.79782943e+02 
 3.09029543e+04  4.14724272e+01  1.79777887e+02 
 3.16227766e+04  4.14724244e+01  1.79772714e+02 
 3.23593657e+04  4.14724216e+01  1.79767419e+02 
 3.31131121e+04  4.14724186e+01  1.79762002e+02 
 3.38844156e+04  4.14724155e+01  1.79756458e+02 
 3.46736850e+04  4.14724122e+01  1.79750786e+02 
