 frequency       onoise_spectrum inoise_spectrum	manifest_sha256
 2.39883292e+02  1.77481783e-03  7.33851894e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.45470892e+02  1.75755467e-03  7.26729600e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.51188643e+02  1.74045832e-03  7.19676701e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.57039578e+02  1.72352708e-03  7.12692518e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.63026799e+02  1.70675930e-03  7.05776379e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.69153480e+02  1.69015330e-03  6.98927619e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.75422870e+02  1.67370747e-03  6.92145580e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.81838293e+02  1.65742017e-03  6.85429610e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.88403150e+02  1.64128979e-03  6.78779062e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 2.95120923e+02  1.62531473e-03  6.72193298e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.01995172e+02  1.60949341e-03  6.65671684e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.09029543e+02  1.59382426e-03  6.59213593e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.16227766e+02  1.57830572e-03  6.52818406e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.23593657e+02  1.56293625e-03  6.46485507e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.31131121e+02  1.54771431e-03  6.40214287e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.38844156e+02  1.53263838e-03  6.34004145e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.46736850e+02  1.51770695e-03  6.27854484e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.54813389e+02  1.50291853e-03  6.21764712e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.63078055e+02  1.48827163e-03  6.15734246e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.71535229e+02  1.47376478e-03  6.09762505e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.80189396e+02  1.45939652e-03  6.03848916e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.89045145e+02  1.44516539e-03  5.97992912e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 3.98107171e+02  1.43106995e-03  5.92193929e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.07380278e+02  1.41710875e-03  5.86451412e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.16869383e+02  1.40328042e-03  5.80764809e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.26579519e+02  1.38958341e-03  5.75133574e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.36515832e+02  1.37601654e-03  5.69557167e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.46683592e+02  1.36257831e-03  5.64035052e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.57088190e+02  1.34926733e-03  5.58566699e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.67735141e+02  1.33608225e-03  5.53151585e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.78630092e+02  1.32302169e-03  5.47789188e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 4.89778819e+02  1.31008430e-03  5.42478995e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.01187234e+02  1.29726872e-03  5.37220496e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.12861384e+02  1.28457363e-03  5.32013186e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.24807460e+02  1.27199769e-03  5.26856567e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.37031796e+02  1.25953958e-03  5.21750144e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.49540874e+02  1.24719798e-03  5.16693426e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.62341325e+02  1.23497159e-03  5.11685930e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.75439937e+02  1.22285909e-03  5.06727175e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 5.88843655e+02  1.21085920e-03  5.01816685e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
 6.02559586e+02  1.19897063e-03  4.96953990e-07	6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
