scale,command_V,drive_V,vout_V,vinn_V,vx_V,m6_id_A,m6_vdsat_V,m7_id_A,m7_vdsat_V,direction,mapping_error_V,tracking_error_mV,m6_saturation_margin_V,m7_saturation_margin_V,not_clipped,valid,point_status,reverse_vout_V,forward_reverse_delta_uV,reverse_valid,counterpart_point_status,manifest_sha256
1.3,0.5,1.3,0.500356258,0.900178129,0.803746548,8.86264895e-05,0.165445766,9.35900675e-05,0.164565152,COMMAND_ASCENDING,0,0.356258,0.334910492,1.13507859,True,True,VALID,0.500356258,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.29,0.51,1.29,0.510346005,0.900173003,0.803411278,8.84963242e-05,0.165243587,9.35607994e-05,0.164562055,COMMAND_ASCENDING,0,0.346005,0.345102418,1.12509194,True,True,VALID,0.510346005,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.28,0.52,1.28,0.520335878,0.900167939,0.803080147,8.83660014e-05,0.165043977,9.35313751e-05,0.164558958,COMMAND_ASCENDING,0,0.335878,0.355291901,1.115105164,True,True,VALID,0.520335878,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.27,0.53,1.27,0.530325867,0.900162934,0.802752889,8.82355187e-05,0.164846771,9.35017921e-05,0.164555861,COMMAND_ASCENDING,0,0.325867,0.365479096,1.105118272,True,True,VALID,0.530325867,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.26,0.54,1.26,0.540315966,0.900157983,0.802429261,8.81048738e-05,0.164651817,9.34720479e-05,0.164552764,COMMAND_ASCENDING,0,0.315966,0.375664149,1.09513127,True,True,VALID,0.540315966,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.25,0.55,1.25,0.550306168,0.900153084,0.802109042,8.79740643e-05,0.164458977,9.344214e-05,0.164549667,COMMAND_ASCENDING,0,0.306168,0.385847191,1.085144165,True,True,VALID,0.550306168,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.24,0.56,1.24,0.560296467,0.900148233,0.801792024,8.78430875e-05,0.164268122,9.34120658e-05,0.16454657,COMMAND_ASCENDING,0,0.296467,0.396028345,1.075156963,True,True,VALID,0.560296467,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.23,0.57,1.23,0.570286801,0.9001434,0.801478022,8.77119414e-05,0.164079135,9.33818229e-05,0.164543473,COMMAND_ASCENDING,-1.110223025e-16,0.286801,0.406207666,1.065169726,True,True,VALID,0.570286801,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.22,0.58,1.22,0.580277332,0.900138666,0.801166854,8.75806217e-05,0.163891904,9.3351408e-05,0.164540376,COMMAND_ASCENDING,-1.110223025e-16,0.277332,0.416385428,1.055182292,True,True,VALID,0.580277332,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
1.21,0.59,1.21,0.590267887,0.900133944,0.800858363,8.74491273e-05,0.163706329,9.33208188e-05,0.164537279,COMMAND_ASCENDING,-1.110223025e-16,0.267887,0.426561558,1.045194834,True,True,VALID,0.590267887,0,True,VALID,6b90c7326a881914a362e3b2e6e96e4716b20c8b8196590f22c2ce5e1ab460ab
